YEAR;mm
1929;336.0
1930;493.9
1931;321.9
1932;1.028.4
1933;496.2
1934;501.1
1935;454.1
1936;679.0
1937;547.3
1938;447.7
1939;484.8
1940;391.3
1941;458.1
1942;526.2
1943;470.9
1944;334.9
1945;441.9
1946;503.0
1947;411.6
1948;201.0
1949;231.7
1950;384.5
1951;608.2
1952;349.5
1953;346.4
1954;329.2
1955;406.7
1956;296.4
1957;297.3
1958;208.9
1959;700.5
1960;564.3
1961;444.2
1962;446.9
1963;496.2
1964;481.7
1965;453.4
1966;495.7
1967;512.1
1968;509.2
1969;734.6
1970;325.3
1971;758.2
1972;805.8
1973;449.2
1974;506.1
1975;441.0
1976;430.6
1977;456.5
1978;391.6
1979;595.5
1980;380.8
1981;354.5
1982;598.0
1983;437.5
1984;547.0
1985;313.5
1986;401.0
1987;456.0
1988;454.5
1989;310.0
1990;345.5
1991;390.5
1992;459.5
1993;397.6
1994;380.5
1995;229.9
1996;526.5
1997;665.0
1998;268.5
1999;426.3
2000;486.9
2001;289.1
