Legislatura ,Inicio ,Final ,Duración ,Elecciones ,Presidente del Gobierno ,Nombramientodel Presidente ,Sesión deapertura ,Fecha dedisolución
Const. ,13-07-1977 ,22-03-1979 ,618 días ,15-06-1977 ,Adolfo Suárez (UCD) ,04-07-1977 ,22-07-1977 ,02-01-1979
I ,23-03-1979 ,17-11-1982 ,1336 días ,01-03-1979 ,Adolfo Suárez (UCD) ,30-03-1979 ,09-05-1979 ,31-08-1982
II ,18-11-1982 ,14-07-1986 ,1335 días ,28-10-1982 ,Felipe González (PSOE) ,01-12-1982 ,25-11-1982 ,23-04-1986
III ,15-07-1986 ,20-11-1989 ,1225 días ,22-06-1986 ,Felipe González (PSOE) ,23-07-1986 ,28-07-1986 ,02-09-1989
IV ,21-11-1989 ,28-06-1993 ,1316 días ,29-10-1989 ,Felipe González (PSOE) ,05-12-1989 ,06-12-1989 ,13-04-1993
V ,29-06-1993 ,26-03-1996 ,1002 días ,06-06-1993 ,Felipe González (PSOE) ,09-07-1993 ,14-07-1993 ,09-01-1996
VI ,27-03-1996 ,04-04-2000 ,1470 días ,03-03-1996 ,José María Aznar (PP) ,04-05-1996 ,08-05-1996 ,18-01-2000
VII ,05-04-2000 ,01-04-2004 ,1458 días ,12-03-2000 ,José María Aznar (PP) ,26-04-2000 ,03-05-2000 ,20-01-2004
VIII ,02-04-2004 ,31-03-2008 ,1460 días ,14-03-2004 ,José Luis Rodríguez Zapatero (PSOE) ,16-04-2004 ,22-04-2004
IX ,01-04-2008 ,12-12-2011 ,1351 días ,09-03-2008 ,José Luis Rodríguez Zapatero (PSOE) ,11-04-2008 ,16-04-2008
X ,13-12-2011 ,12-01-2016 ,1492 días ,20-11-2011 ,Mariano Rajoy (PP) ,20-12-2011 ,27-12-2011 ,27-10-2015
XI ,13-01-2016 ,18-07-2016 ,188 días ,20-12-2015 ,Mariano Rajoy (PP) ,No hubo ,No hubo ,03-05-2016
XII ,19-07-2016 ,20-05-2019 ,1035 días ,26-06-2016 ,Mariano Rajoy (PP) ,29-10-2016 ,17-11-2016 ,05-03-2019
XIII ,21-05-2019 ,evento futuro ,33 días ,28-04-2019 ,,,,
