NOMBRE_LEY;AÑO;TIPO_LEY;TITULO_LEY
Ley Orgánica 1/2019;2019;Ley Orgánica;Ley Orgánica 1/2019, de 20 de febrero, por la que se modifica la Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal, para transponer Directivas de la Unión Europea en los ámbitos financiero y de terrorismo, y abordar cuestiones de índole internacional. (BOE, núm. 45, de 21 de febrero    de 2019
Ley Orgánica 2/2019;2019;Ley Orgánica;Ley Orgánica 2/2019, de 1 de marzo, de modificación de la Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal, en materia de imprudencia en la conducción de vehículos a motor o ciclomotor y sanción del abandono del lugar del accidente. (BOE, núm. 53, de 02 de marzo      de 2019
Ley Orgánica 3/2019;2019;Ley Orgánica;Ley Orgánica 3/2019, de 12 de marzo, de reforma del Estatuto de Autonomía de la Comunitat Valenciana en materia de participación de la Generalitat Valenciana en las decisiones sobre inversión del Estado en la Comunidad Valenciana. (BOE, núm. 62, de 13 de marzo      de 2019
Ley 1/2019;2019;Ley;Ley 1/2019, de 20 de febrero, de Secretos Empresariales. (BOE, núm. 45, de 21 de febrero    de 2019
Ley 2/2019;2019;Ley;Ley 2/2019, de 1 de marzo, por la que se modifica el texto refundido de la Ley de Propiedad Intelectual, aprobado por el Real Decreto Legislativo 1/1996, de 12 de abril, y por el que se incorporan al ordenamiento jurídico español la Directiva 2014/26/UE del Parlamento Europeo y del Consejo, de 26 de febrero de 2014, y la Directiva (UE) 2017/1564 del Parlamento Europeo y del Consejo, de 13 de septiembre de 2017. (BOE, núm. 53, de 02 de marzo      de 2019
Ley 3/2019;2019;Ley;Ley 3/2019, de 1 de marzo, de mejora de la situación de orfandad de las hijas e hijos de víctimas de violencia de género y otras formas de violencia contra la mujer. (BOE, núm. 53, de 02 de marzo      de 2019
Ley 4/2019;2019;Ley;Ley 4/2019, de 7 de marzo, de mejora de las condiciones para el desempeño de la docencia y la enseñanza en el ámbito de la educación no universitaria. (BOE, núm. 58, de 08 de marzo      de 2019
Ley 5/2019;2019;Ley;Ley 5/2019, de 15 de marzo, reguladora de los contratos de crédito inmobiliario. (BOE, núm. 65, de 16 de marzo      de 2019
Real Decreto-ley 1/2019;2019;Real Decreto-ley;Real Decreto-ley 1/2019, de 11 de enero, de medidas urgentes para adecuar las competencias de la Comisión Nacional de los Mercados y la Competencia a las exigencias derivadas del derecho comunitario en relación a las Directivas 2009/72/CE y 2009/73/CE del Parlamento Europeo y del Consejo, de 13 de julio de 2009, sobre normas comunes para el mercado interior de la electricidad y del gas natural. (BOE, núm. 11, de 12 de enero      de 2019
Real Decreto-ley 2/2019;2019;Real Decreto-ley;Real Decreto-ley 2/2019, de 25 de enero, por el que se adoptan medidas urgentes para paliar los daños causados por temporales y otras situaciones catastróficas. (BOE, núm. 23, de 26 de enero      de 2019
Real Decreto-ley 3/2019;2019;Real Decreto-ley;Real Decreto-ley 3/2019, de 8 de febrero, de medidas urgentes en el ámbito de la Ciencia, la Tecnología, la Innovación y la Universidad (BOE, núm. 35, de 09 de febrero    de 2019
Real Decreto-ley 4/2019;2019;Real Decreto-ley;Real Decreto-ley 4/2019, de 22 de febrero, del Régimen Especial de las Illes Balears. (BOE, núm. 47, de 23 de febrero    de 2019
Real Decreto-ley 5/2019;2019;Real Decreto-ley;Real Decreto-ley 5/2019, de 1 de marzo, por el que se adoptan medidas de contingencia ante la retirada del Reino Unido de Gran Bretaña e Irlanda del Norte de la Unión Europea sin que se haya alcanzado el acuerdo previsto en el artículo 50 del Tratado de la Unión Europea. (BOE, núm. 53, de 02 de marzo      de 2019
Real Decreto-ley 6/2019;2019;Real Decreto-ley;Real Decreto-ley 6/2019, de 1 de marzo, de medidas urgentes para garantía de la igualdad de trato y de oportunidades entre mujeres y hombres en el empleo y la ocupación. (BOE, núm. 57, de 07 de marzo      de 2019
Real Decreto-ley 7/2019;2019;Real Decreto-ley;Real Decreto-ley 7/2019, de 1 de marzo, de medidas urgentes en materia de vivienda y alquiler. (BOE, núm. 55, de 05 de marzo      de 2019
Real Decreto-ley 8/2019;2019;Real Decreto-ley;Real Decreto-ley 8/2019, de 8 de marzo, de medidas urgentes de protección social y de lucha contra la precariedad laboral en la jornada de trabajo. (BOE, núm. 61, de 12 de marzo      de 2019
Real Decreto-ley 9/2019;2019;Real Decreto-ley;Real Decreto-ley 9/2019, de 29 de marzo, por el que se modifica la Ley 14/1994, de 1 de junio, por la que se regulan las empresas de trabajo temporal, para su adaptación a la actividad de la estiba portuaria y se concluye la adaptación legal del régimen de los trabajadores para la prestación del servicio portuario de manipulación de mercancías. (BOE, núm. 77, de 30 de marzo      de 2019
Real Decreto-ley 10/2019;2019;Real Decreto-ley ;Real Decreto-ley 10/2019, de 29 de marzo, por el que se prorroga para 2019 el destino del superávit de comunidades autónomas y de las entidades locales para inversiones financieramente sostenibles y se adoptan otras medidas en relación con las funciones del personal de las entidades locales con habilitación de carácter nacional. (BOE, núm. 77, de 30 de marzo      de 2019
